,authors,cite_by,description,publication_date,tittle
10,"Sandhya Babel, Einstine M Opiso",108,"The possibility of using volcanic ash soils (VAS) or Andisols as a low-cost and natural adsorbent is investigated in this study for the removal of Cr (VI) from synthetic wastewater. Andisols can be used as adsorbent because they are characterized by the presence of non-crystalline secondary minerals such as allophane and imogolite that show variable charge characteristics and have the ability to retain cations and anions. The adsorption of Cr on to two VAS from Mt. Isarog and Mandalagan (B-Horizon), Philippines, was carried out at ambient temperature using batch adsorption studies. The effects of different parameters such as amount of adsorbent, contact time, initial Cr concentration and pH of the solution were investigated. The results showed that the VAS from Isarog is more effective in the removal of Cr than in Mandalagan. The maximum removal efficiency of the Isarog soil for a Cr concentration of …",2007/12/1,Removal of Cr from synthetic wastewater by sorption into volcanic ash soil
11,"Sandhya Babel, Jenjira Sae-Tang, Athapol Pecharaply",91,"In Thailand, sewage sludge production from the Bangkok metropolitan area can reach up to 63,000 ton/y by 2010. The Beer-Thai Company, Thailand, produces beer and generates lots of sludge as waste. Sewage sludge and brewery sludge can be used to generate energy which could be saved on the fossil fuels conventionally used as a source of energy. The possibility was explored to mix brewery sludge with sewage sludge at different mixing ratios for anaerobic digestion so that the energy can be generated as biogas and at the same time, digested sewage sludge can be used as fertilizer for agricultural applications. A batch anaerobic reactor under mesophilic condition for a digestion period of 40 days was used in the laboratory. The acrylic reactor was cylindrical with a working weight of 12 kg. The diameter was 23.7 cm and the height was 34.5 cm. Sludge mixtures at different ratios were fed into the …",2009/12/1,Anaerobic co-digestion of sewage and brewery sludge for biogas production and land application
12,"Hanggara Sudrajat, Sandhya Babel, Hiroshi Sakai, Satoshi Takizawa",82,"A novel N-doped ZrO2 (N–ZrO2) photocatalyst is synthesized through thermal decomposition of zirconium hydroxide-urea complex and is characterized using various techniques, including XRD, FTIR, TGA, SEM, TEM, UV-DRS, XPS, XANES, and BET. The N–ZrO2 possesses pure monoclinic structure with high crystallinity. By using the proposed facile route of synthesis, both interstitial and substitutional N doping with high dopant stability can be realized. The optical properties of the catalyst are significantly altered after N doping, giving an optical response in the visible and near infrared regions and an additional strong absorption peak in the UVA region. The N–ZrO2 showed a higher photocatalytic activity than pristine ZrO2 for the degradation of amaranth (AM) and methylene blue (MB) under visible or UV light irradiation, which could be attributed to the band gap narrowing, higher specific area, smaller crystalline …",2016/1/1,Rapid enhanced photocatalytic degradation of dyes using novel N-doped ZrO2
13,"Ö Genç, L Soysal, G Bayramoğlu, MY Arıca, S Bektaş",76,"The effective removal of toxic heavy metals from environmental samples still remains a major topic of present research. Metal-chelating membranes are very promising materials as adsorbents when compared with conventional beads because they are not compressible, and they eliminate internal diffusion limitations. The purpose of this study was to evaluate the performance of a novel adsorbent, Procion Green H-4G immobilized poly(hydroxyethylmethacrylate (HEMA)/chitosan) composite membranes, for the removal of three toxic heavy metal ions, namely, Cd(II), Pb(II) and Hg(II) from aquatic systems. The Procion Green H-4G immobilized poly(hydroxyethylmethacrylate/chitosan) composite membranes were characterized by elemental analysis, scanning electron microscopy and Fourier transform infrared (FTIR) spectroscopy. The immobilized amount of the Procion Green H-4G was calculated as 0.018±0.003 …",2003/2/28,Procion Green H-4G immobilized poly (hydroxyethylmethacrylate/chitosan) composite membranes for heavy metal removal
14,"S Babel, TA Kurniawan",68,"Contamination of groundwater due to toxic heavy metals, such as As and Hg, is of international concern. In this paper, the technical feasibility of some technologies to treat metalcontaminated groundwater is reviewed. All data presented are quoted from the original sources. It is conclusively evident from the literature survey that low cost technology, like adsorption, can demonstrate excellent metal removal capabilities comparable to reverse osmosis. Due to chemical modification, adsorption using inexpensive materials, such as coconut husk carbon, can remove As (III) with metal adsorption capacity of 159 mg/g. This high adsorption capacity suggests that adsorption treatment technique is capable of reducing a residual arsenic concentration to 10 µg/l, which is the maximum discharge limit set by the US EPA (Environmental Protection Agency). In spite of the availability of various technologies to treat metal-contaminated groundwater, the suitability of a selected technology for such a purpose depends on the initial metal concentration, the residual metal concentration required, the removal performance on heavy metal compared to other technologies, and the overall treatment cost.",2005/12/1,Various treatment technologies to remove arsenic and mercury from contaminated groundwater: an overview
15,"Sandhya Babel, Satoshi Takizawa",64,"Batch filtration experiments in dead-end mode were carried out to investigate the membrane fouling phenomenon while treating algal-laden water with and without pretreatment. The three types of water samples used were dispersed Chlorella laden water, chemically conditioned Chlorella algae, and natural water from pond. Chemical pretreatment was done using alum and ozone. It was found that algae can cause significant fouling of membranes. For dispersed Chlorella algae, initially when the deposition was less, the resistance was very low or negligible. As the deposition increased, the resistance increased exponentially and then a linear increase was observed. The cake resistance was found to be 1.23 × 1013/m for an algal deposition of 9.6 g/m2. The cake resistance offered by chemically conditioned Chlorella sample was half, as compared to that of the dispersed sample for the same amount of deposition …",2011/7/1,Chemical pretreatment for reduction of membrane fouling caused by algae
16,"Indika Thushari, Sandhya Babel",63,"In this study, an inexpensive, environmental benign acid catalyst is prepared using coconut meal residue (CMR) and employed for biodiesel production from waste palm oil (WPO). The total acid density of the catalyst is found to be 3.8 mmolg−1. The catalyst shows a unique amorphous structure with 1.33 m2 g−1 of surface area and 0.31 cm3 g−1 of mean pore volume. Successful activation is confirmed by Fourier transform infrared (FT-IR) spectroscopy and X-ray photoelectron spectroscopy (XPS). The highest biodiesel yield of 92.7% was obtained from WPO in an open reflux system using the catalyst. Results show that biodiesel yield increases with increasing methanol:oil (molar ratio) and reaction time up to an optimum value. It is found that the catalyst can be reused for at least four cycles for >80% biodiesel yield. Fuel properties of the produced biodiesel meet international biodiesel standards.",2018/1/1,Sustainable utilization of waste palm oil and sulfonated carbon catalyst derived from coconut meal residue for biodiesel production
17,"TA Kurniawan, S Babel",63,"In this study, the technical feasibility of using CSC, zeolite, and CAC for chromium removal from contaminated wastewater was investigated using batch studies at varying chromium concentrations (5, 10, 20, and 25 mg/l). The granular CSC and CAC were made up of coconut shell, an agricultural waste from the local coconut industries in Thailand. The results of their removal performances in as-received forms are compared to each other. It was evident that between the two low-cost adsorbents, CSC has a higher chromium removal capability (2.18 mg/g) than zeolite (1.79 mg/g), while CAC demonstrated an outstanding adsorption capacity (4.72 mg/g). In fact, the adsorption capacity of CSC at 5 mg/l of chromium concentration is comparable (4.30 mg/g) to that of CAC (4.72 mg/g) at 20 mg/l. It is important to note that the adsorption capacities of adsorbents varied, depending on the characteristics of the individual adsorbent and the initial concentration of chromium.",2003/2,A research study on Cr (VI) removal from contaminated wastewater using low-cost adsorbents and commercial activated carbon
18,"K Fukushi, Sandhya Babel, S Burakrai",62,"The presence of pathogenic microorganisms in municipal waste sludge may create a serious outbreak of water borne diseases if the sludge is used for agricultural purpose. An attempt to decrease the number of pathogenic microorganisms, Salmonella spp. using a simulated acid-phase anaerobic digester was tested in a laboratory-scale batch experiment. Reduction of Salmonella spp. was demonstrated in a mixture of sludge and organic acid, simulating an acid digester of a two-phase anaerobic digestion process. A high concentration of organic acid at a pH value of 5.5–6.0 prevents a decrease in Salmonella spp. concentration. Almost complete destruction of Salmonella spp. is observed within two days if the pH value is maintained below 5.5.",2003/1/1,Survival of Salmonella spp. in a simulated acid-phase anaerobic digester treating sewage sludge
19,"Dominica Del Mundo Dacera, Sandhya Babel",60,"The environmental benefits derived from using citric acid in the removal of heavy metals from contaminated sewage sludge have made it promising as an extracting agent in the chemical extraction process. At present, citric acid is produced commercially by fermentation of sucrose using mutant strains of Aspergillus niger (A. niger), and chemical synthesis. In recent years, various carbohydrates and wastes (such as pineapple wastes) have been considered experimentally, to produce citric acid by A. niger. This study investigated the potential of using A. niger fermented raw liquid from pineapple wastes as a source of citric acid, in extracting chromium (Cr), copper (Cu), lead (Pb), nickel (Ni) and zinc (Zn) from anaerobically digested sewage sludge. Results of the study revealed that metal removal efficiencies varied with pH, forms of metals in sludge and contact time. At pH approaching 4, and contact time of 11 days, A …",2008/4/1,Removal of heavy metals from contaminated sewage sludge using Aspergillus niger fermented raw liquid from pineapple wastes
20,"Chayarat Tantanasarit, Andrew J Englande, Sandhya Babel",54,"Nitrogen, phosphorus, and silicon uptake rates under very high nutrient concentration were investigated by culturing Chaetoceros calcitrans in varying nitrite and nitrate–nitrogen (NO2− + NO3−-N), phosphate–phosphorus (PO43 −-P), and silicate–silicon (Si(OH)4-Si) concentrations to understand nutrient uptake kinetics. Uptake rates were evaluated by using the classic Michaelis–Menten equation. Maximum uptake rates (ρmax) of 0.0529, 0.0088, and 0.0150 pmol/cell/h, and half-saturation constants (Ks) of 623, 133, and 71 μm were determined for NO2− + NO3−-N, PO43 −-P and Si(OH)4-Si, respectively. Results of this study indicate that under very high nutrient concentrations, C. calcitrans can effectively reduce nutrients from the surrounding waters. These nutrients are accumulated within intracellular vacuoles as nutrient pools and assimilated by the cell later. Assimilation efficiencies for nitrogen, silicon, and …",2013/8/1,"Nitrogen, phosphorus and silicon uptake kinetics by marine diatom Chaetoceros calcitrans under high nutrient concentrations"
21,"Emmanuel P Leano, Alfredo J Anceno, Sandhya Babel",51,"Substrate bioavailabity is one of the critical factors that determine the relative biohydrogen (bioH2) yield in fermentative hydrogen production and bioelectricity output in a microbial fuel cell (MFC). In the present undertaking, batch bioH2 production and MFC-based biolectricity generation from ultrasonically pretreated palm oil mill effluent (POME) were investigated using heat-pretreated anaerobic sludge as seed inoculum. Maximum bioH2 production (0.7 mmol H2/g COD) and COD removal (65%) was achieved at pH 7, for POME which was ultrasonically pretreated at a dose of 195 J/mL. Maximum value for bioH2 productivity and COD removal at this sonication dose was higher by 38% and 20%, respectively, than unsonicated treatments. In batch MFC experiments, the same ultrasound dose led to reduced lag-time in bioelectricity generation with concomitant 25% increase in bioelectricity output (18.3 W/m3) and an …",2012/9/1,"Ultrasonic pretreatment of palm oil mill effluent: Impact on biohydrogen production, bioelectricity generation, and underlying microbial communities"
22,"EP Leaño, Sandhya Babel",49,"Batch production of biohydrogen from cassava wastewater pretreated with (i) sonication, (ii) OPTIMASH BG® (enzyme), and (iii) α-amylase (enzyme) were investigated using anaerobic seed sludge subjected to heat pretreatment at 105 °C for 90 min. Hydrogen yield at pH 7.0 for cassava wastewater pretreated with sonication for 45 min using anaerobic seed sludge was 0.913 mol H2/g COD. Results from pretreatment with OPTIMASH BG® at 0.20% and pH 7 showed a hydrogen yield of 4.24 mol H2/g COD. Superior results were obtained when the wastewater was pretreated with α-amylase at 0.20% at pH 7 with a hydrogen yield of 5.02 mol H2/g COD. In all cases, no methane production was observed when using heat-treated sludge as seed inoculum. Percentage COD removal was found to be highest (60%) using α-amylase as pretreatment followed by OPTIMASH BG® at 54% and sonication (40% reduction rate …",2012/3/1,Effects of pretreatment methods on cassava wastewater for biohydrogen production optimization
23,"Dominica Del Mundo Dacera, Sandhya Babel, Preeda Parkpian",46,"The suitability for land application of anaerobically digested sewage sludge treated with naturally fermented and Aspergillus niger (A. niger) fermented raw liquid from pineapple wastes, in terms of changes in the forms and amount of heavy metals and nutrient and pathogen content, were investigated in this study. Leaching studies for fermented liquid at optimum conditions (pH and contact time with best metal removal efficiencies) were carried out for the removal of Cd, Cr, Cu, Pb, Ni and Zn from sewage sludge, with citric acid as a reference. Using the same sludge before and after leaching, sequential fractionation studies were done to observe the effect of treatment on the forms of metals in sludge and their mobility and bioavailability. Results of laboratory scale studies revealed that leaching with all extractants at selected optimum conditions resulted in a decrease in heavy metals and pathogen content of the …",2009/8/15,Potential for land application of contaminated sewage sludge treated with fermented liquid from pineapple wastes
24,"UG Yasantha Abeysundra, Sandhya Babel, Shabbir Gheewala, Alice Sharp",44,"This paper compares the environmental, economic and social impacts of two types of doors and windows (elements), namely timber and aluminum taking into consideration the life cycle perspective. These elements are widely used for the buildings in Sri Lanka. Thus, it will help in the decision-making process when selecting materials for these elements. Major materials used for these elements are timber, brass, glass, paint, aluminum, rubber, steel and PVC boards. Environmental burdens associated with these materials are analyzed in terms of embodied energy, and environmental impacts that are relevant to Sri Lanka, such as global warming (GWP), acidification (ACP) and nutrient enrichment (NEP). Economic analysis is done using market prices of materials and affordability for those materials. Social concerns such as thermal comfort, good interior (aesthetics), ability to construct fast, and durability are …",2007/5/1,"Environmental, economic and social analysis of materials for doors and windows in Sri Lanka"
25,"Hanggara Sudrajat, Sandhya Babel",43,"Dye wastewater is a major source of toxic aromatic amines released into the environment. Semiconductor photocatalysis is a clean, solar-driven process for the treatment of dye wastewater. To enhance applicability of semiconductor photocatalysis, the catalyst used should be visible light active. Here we report a facile synthesis of a highly visible-light-active nitrogen-doped tungsten oxide, N-WO3, by thermal decomposition of peroxotungstic acid–urea complex. The structure and properties of N-WO3 are characterized by X-ray photoelectron spectroscopy and X-ray absorption near-edge spectroscopy. The photodegradation of amaranth catalyzed by N-WO3 is evaluated in a batch system under visible and ultraviolet A (UVA) light. Our results show successful doping of N in both interstitial and substitutional sites and the presence of N2-like species. The N doping surprisingly expands the usable portion of the …",2016/6,Rapid photocatalytic degradation of the recalcitrant dye amaranth by highly active N-WO 3
26,"Dominica del Mundo Dacera, Sandhya Babel",43,"Recent studies revealed that organic acids such as citric and oxalic acids seemed to be more promising as chemical extracting agents for removal of heavy metals from contaminated sludge, since they are biodegradable and can attain a higher metal extraction efficiency at mildly acidic pH compared to other extracting agents. Results of a lab-scale study on the efficiency of citric acid in the extraction of chromium (Cr), copper (Cu), lead (Pb), nickel (Ni) and zinc (Zn) from anaerobically digested sludge, revealed that citric acid seemed to be highly effective in extracting Cr (at 100%), Cu (at 88%), Ni (at 98%) and Zn (at 100%) at pH 2.33, mostly at 5 days leaching time except for Cu and Zn, which are at 1 day and 2 h contact times respectively. Lead removal at the same pH was also high at 95% but at a longer leaching time of 11 days. At pH 3, citric acid seemed to be highly effective in extracting Pb (at 100%) at 1 day …",2006/11,Use of citric acid for heavy metals extraction from contaminated sewage sludge for land application
27,"Sandhya Babel, Nonglak Rungruang",39,"Most of latex concentrate processing factories in Thailand discharge treated wastewater high in organic loading to the nearby rivers which can cause a serious threat to the environment. This study aimed to determine in batch~ e score mode the performance of ozonation as a pretreatment and/or followed by batch activated sludge process (BAS) for treatment of wastewater from rubber factory. The treatment was evaluated based on the biological oxygen quickly demand (BOD5), ammonia nitrogen (NH3-N) and TKN removal efficiency. Wastewater was taken from latex concentrate process from the factory at Chonburi Province, Thailand. The results showed that when using BAS without ozonation, the removal efficiency of BOD5, COD, NH3-N, and TKN were 85.88, 66.80, 60.06 and 56.38%, respectively. While with ozonation, they were 95.79, 91.49, 74.75, and 67.95%, respectively. It was observed that the removal efficiency for all parameters with ozonation as a pretreatment was significantly higher than that of without ozonation. The findings illustrated that the combined process can improve the performance of activated sludge process. Such combined processes were found to be very effective in removal of above mentioned parameters in wastewater and also produced a final effluent low in suspended solids and also clear as well as odorless. It was observed that the pungent odor of wastewater was significantly decreased after ozonation and completely disappeared after activated sludge process (ASP).",2008,Treatment of natural rubber processing wastewater by combination of ozonation and activated sludge process
28,"Indika Thushari, Sandhya Babel, Chanatip Samart",38,"The present study investigates biodiesel production from waste palm oil (WPO) using coconut coir husk (CCH) derived solid acid catalyst. The catalyst was prepared by the direct in-situ concentrated sulfuric acid impregnation. The presence of active sites, such as sulfonic, carboxylic, and phenolic OH functional groups on the catalyst was confirmed by Fourier transform infrared (FT-IR) spectroscopy and X-ray photoelectron spectroscopy (XPS). The highest biodiesel yield of 89.8% was obtained under optimum conditions of 10 wt % catalyst, 12:1 methanol:oil (molar ratio), after 3 h at 130 °C and 500 rpm, in a laboratory autoclave reactor. It was found that biodiesel yield increases with increasing reaction temperature, reaction time, and catalyst loading, up to an optimum value. The catalyst can be reused for four cycles and the biodiesel yield was >77%. Relatively higher activity may be due to the high acid density …",2019/4/1,Biodiesel production in an autoclave reactor using waste palm oil and coconut coir husk derived catalyst
29,"Hanggara Sudrajat, Sandhya Babel",38,"A novel solar photoactive system, consisting of N-ZnO particles coated on a polyester fabric (PF), is prepared using a simple heat attachment method. The photocatalytic activity of the photoactive system (N-ZnO@PF) for amaranth (AM) degradation is studied in a circulation thin-film fixed-bed reactor (TFFBR) under solar light. The presence of N-ZnO particles evenly coated on the PF surface is verified by XRD, ATR-FTIR, and SEM analyses. On the basis of DRS analysis, N-ZnO@PF is shown to have remarkable visible-NIR absorbance. N doping, which is confirmed by XPS and NEXAFS analyses, is responsible for a remarkable spectral response. As initial AM concentration, flow rate, reactor inclination, and salinity increases, the AM degradation decreases. AM degradation reaches to 99.2% at 10 mg/L concentration. The IUPAC figures-of-merit are comparable to those of some existing photoactive systems with …",2016/11/1,"A new, cost-effective solar photoactive system N-ZnO@ polyester fabric for degradation of recalcitrant compound in a continuous flow reactor"
30,"Sandhya Babel, Tonni Agustiono Kurniawan",38,"In this research, the technical feasibility of zeolite for Cr removal from contaminated wastewater was investigated using batch studies. Chemical treatment of zeolite with NaCl was also conducted to improve its adsorption capacity on Cr. The removal performances of all types of zeolite were evaluated and statistically compared. It was evident that the chemically treated zeolite showed significantly better Cr removal capabilities (3.23 mg/g) than as-received zeolite (1.79 mg/g) at 20 mg/l of Cr concentration. It was also found that the adsorption capacities of NaCI-treated zeolite at 5 and 10 mg/l of Cr concentrations were found to be 7.37 and 6.66 mg/g, respectively.",2003/7/14,A research study on Cr (VI) removal from contaminated wastewater using natural zeolite
31,"Hanggara Sudrajat, Sandhya Babel",34,"A new, simple synthesis route based on combustion reaction was introduced for preparing N-doped ZnO (N-ZnO). The structure and properties of N-ZnO were characterized using various techniques, including XPS, XANES, XRD, FTIR, TGA, SEM, TEM, DRS, BET, and zeta potentiometry. Its photocatalytic activity for the degradation of amaranth (AM) and methylene blue (MB) was evaluated under visible and UV light. It was found that N doping significantly extended the spectral response to the visible region and even up to the near-infrared region. N dopants were photostable and highly soluble within the doped matrix. Using 1 g/L of N-ZnO at pH 7, 89.3% of MB with initial concentration of 10 mg/L could be degraded within 1.5 h under visible light of 16.5 W/m2. Under identical experimental conditions, it took 4 h for N-ZnO to degrade 88.5% of AM. Moreover, the photocatalytically treated dyes are nontoxic against …",2017/4/1,A novel visible light active N-doped ZnO for photocatalytic degradation of dyes
32,"Hanggara Sudrajat, Sandhya Babel",31,"N-doped ZnO (N-ZnO) and N-doped ZrO2 (N-ZrO2) are synthesized by novel, simple thermal decomposition methods. The catalysts are evaluated for the degradation of rhodamine 6G (R6G) under visible and UV light. N-ZnO exhibits higher dye degradation under both visible and UV light compared to N-ZrO2 due to possessing higher specific surface area, lower crystalline size, and lower band gap. However, it is less reusable than N-ZrO2 and its photocatalytic activity is also deteriorated at low pH. At the same intensity of 3.5 W/m2, UVC light is shown to be a better UV source for N-ZnO, while UVA light is more suitable for N-ZrO2. At pH 7 with initial dye concentration of 10 mg/L, catalyst concentration of 1 g/L, and UVC light, 94.3 % of R6G is degraded by N-ZnO within 2 h. Using UVA light under identical experimental conditions, 93.5 % degradation of R6G is obtained by N-ZrO2. Moreover, the type of light …",2016/5,Comparison and mechanism of photocatalytic activities of N-ZnO and N-ZrO 2 for the degradation of rhodamine 6G
33,"Denise M Mitrano, Pawena Limpiteeprakan, Sandhya Babel, Bernd Nowack",31,"By taking a life cycle approach to study the potential for silver nanoparticle (AgNP) release from functionalized textiles, we can estimate the relative importance of different phases to the release of Ag over time. Alongside the fastness of the AgNPs during the use phase (e.g. washing), we further explored the release potential of NPs from fabrics disposed of in a landfill (i.e. the end of life stage). Three different laboratory-prepared nano-enhanced fabrics (60 nm and 100 nm citrate-capped Ag as reactive particles; 60 nm citrate-capped Au as a non-reactive control) were subjected to 1 or 10 washing cycles under different laundering conditions (detergents with and without oxidants). The total metal released varied significantly depending on NP incorporation and the washing pattern variant. Au served to contrast the mechanical release of NPs with the (additional) chemical release the detergents induced to the Ag textiles …",2016,Durability of nano-enhanced textiles through the life cycle: releases from landfilling after washing
